"ADOB_ID";"ADOB_LIIK";"ADS_OID";"TUNNUS";"ETAK_ID";"HOONE_OID";"AADRESS";"VIITEPUNKT_X";"VIITEPUNKT_Y";"OLEK";"KEHTIV_ALATES";"KEHTIV_KUNI"
9909241;"AY";"AY00004496";"4496";;;"Harju maakond, Jõelähtme vald, Loo alevik";553923,55;6587890,17;"K";21.10.2019;
9862017;"AY";"AY00005015";"5015";;;"Rapla maakond, Kehtna vald, Mukri küla";558939,54;6511347,0;"K";21.8.2019;
9907608;"AY";"AY03658151";"2596";;;"Tartu maakond, Peipsiääre vald, Kallaste linn";689632,65;6509057,25;"K";18.10.2019;
9909620;"AY";"AY00002062";"2062";;;"Pärnu maakond, Saarde vald, Ilvese küla";538743,53;6452147,3;"K";21.10.2019;
9894891;"AY";"AY03551769";"5567";;;"Valga maakond, Otepää vald, Nüpli küla";647155,0;6433878,41;"K";1.10.2019;
9849445;"AY";"AY00006834";"6834";;;"Jõgeva maakond, Jõgeva vald, Rassiku küla";658726,27;6526015,99;"K";29.7.2019;
9870162;"AY";"AY00008112";"8112";;;"Harju maakond, Kose vald, Tammiku küla";553470,45;6564103,66;"K";2.9.2019;
9877800;"AY";"AY00004235";"4235";;;"Pärnu maakond, Saarde vald, Leipste küla";560537,73;6441969,94;"K";10.9.2019;
9877589;"AY";"AY00002137";"2137";;;"Valga maakond, Valga vald, Jaanikese küla";622873,07;6411328,33;"K";10.9.2019;
9909624;"AY";"AY00006705";"6705";;;"Pärnu maakond, Saarde vald, Rabaküla";538537,66;6457720,98;"K";21.10.2019;
9870101;"AY";"AY00007402";"7402";;;"Rapla maakond, Kohila vald, Salutaguse küla";547039,1;6558566,77;"K";2.9.2019;
9909080;"AY";"AY00007238";"7238";;;"Viljandi maakond, Mulgi vald, Räägu küla";568197,03;6446211,81;"K";21.10.2019;
9909457;"AY";"AY00006158";"6158";;;"Lääne-Viru maakond, Väike-Maarja vald, Piibe küla";626166,12;6533709,46;"K";21.10.2019;
9877867;"AY";"AY00005017";"5017";;;"Viljandi maakond, Viljandi vald, Muksi küla";599938,27;6447765,25;"K";10.9.2019;
9877869;"AY";"AY00008398";"8398";;;"Viljandi maakond, Mulgi vald, Tuhalaane küla";596605,65;6449369,49;"K";10.9.2019;
9884097;"AY";"AY00003219";"3219";;;"Pärnu maakond, Põhja-Pärnumaa vald, Kobra küla";559532,5;6505594,1;"K";17.9.2019;
9884284;"AY";"AY00006050";"6050";;;"Ida-Viru maakond, Jõhvi vald, Pauliku küla";692175,51;6584072,53;"K";17.9.2019;
9862467;"AY";"AY00003366";"3366";;;"Lääne maakond, Lääne-Nigula vald, Koluvere küla";506638,76;6529406,21;"K";21.8.2019;
9872786;"AY";"AY03658660";"8918";;;"Valga maakond, Valga vald, Valga linn";623295,39;6406507,91;"K";4.9.2019;
9878098;"AY";"AY00002338";"2338";;;"Viljandi maakond, Viljandi vald, Järtsaare küla";607510,75;6493443,96;"K";10.9.2019;
9863026;"AY";"AY00007199";"7199";;;"Lääne-Viru maakond, Rakvere vald, Rägavere küla";642337,2;6578505,58;"K";22.8.2019;
9863028;"AY";"AY00009495";"9495";;;"Lääne-Viru maakond, Rakvere vald, Võhma küla";645398,13;6583254,66;"K";22.8.2019;
9862468;"AY";"AY00003590";"3590";;;"Lääne maakond, Lääne-Nigula vald, Kullametsa küla";507095,43;6525879,62;"K";21.8.2019;
9870159;"AY";"AY02105067";"4602";;;"Rapla maakond, Rapla vald, Lõiuse küla";550684,16;6555775,0;"K";2.9.2019;
9863164;"AY";"AY00003932";"3932";;;"Lääne-Viru maakond, Väike-Maarja vald, Käru küla";640171,49;6541464,61;"K";22.8.2019;
9863024;"AY";"AY00005117";"5117";;;"Lääne-Viru maakond, Vinni vald, Mõedaka küla";645864,56;6580116,19;"K";22.8.2019;
9863047;"AY";"AY00001484";"1484";;;"Lääne-Viru maakond, Väike-Maarja vald, Avispea küla";638705,87;6556627,39;"K";22.8.2019;
9907609;"AY";"AY03804391";"3233";;;"Tartu maakond, Peipsiääre vald, Kodavere küla";688648,62;6514200,58;"K";18.10.2019;
9907611;"AY";"AY00008329";"8329";;;"Tartu maakond, Peipsiääre vald, Torila küla";680657,27;6507285,12;"K";18.10.2019;
9870160;"AY";"AY00005738";"5738";;;"Harju maakond, Kose vald, Oru küla";555476,79;6558782,94;"K";2.9.2019;
9869940;"AY";"AY00008971";"8971";;;"Rapla maakond, Rapla vald, Valtu küla";548549,07;6537999,33;"K";2.9.2019;
9870232;"AY";"AY00005250";"5250";;;"Rapla maakond, Kohila vald, Mälivere küla";544798,44;6552834,54;"K";2.9.2019;
9862412;"AY";"AY00002983";"2983";;;"Lääne maakond, Lääne-Nigula vald, Keskküla";501140,12;6511532,0;"K";21.8.2019;
